"","cw_use","total_watershed_area","og_watershed_area_comb","prot_og_watershed_area_comb","at_risk_area"
"1","EMERGENCY BACKUP",47435.5829371893,5423.78481320128,3114.50915164945,2309.27566155184
"2","EMERGENCY BACKUP/IRRIGATION",0,0,0,0
"3","IRRIGATION",2030.87807242442,218.945108042301,0,218.945108042301
"4","OTHER SOURCE",70196.7842785369,18778.7589803896,17374.7446231454,1404.0143572442
"5","PRIMARY",909946.643500314,105828.803103452,31937.2930149837,73891.5100884682
"6","SECONDARY",4014.82457328077,982.444615115896,371.814269329375,610.630345786521
